"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a logged-in user can transfer 
                    funds between accounts and receives a success confirmation.","446","Transfer funds between accounts successfully","tests.ui","2026-04-29","passed","2026-04-29","","test_transferfunds_success","",""
"Verify user can register successfully.","5770","Test Registration","tests.ui","2026-04-29","failed","2026-04-29","","test_registration","",""
"
Verify that a logged-in user can successfully log out from the application.
The test ensures that the user is redirected to the login page,
the session is terminated, and protected pages are no longer accessible.
","659","Logout functionality","tests.ui","2026-04-29","passed","2026-04-29","","test_logout_success","",""
"
Verify that the system does not allow bill payment with an amount of 0.
Expected results:
- Payment is not processed
- No success confirmation is displayed
- Application may display an error or reject the request
","5406","Bill pay with zero amount","tests.ui","2026-04-29","failed","2026-04-29","","test_billpay_amount_zero","",""
"Verify that the withdraw endpoint successfully processes a valid withdrawal request.
Expected results:
- Response status is 200
- Response body confirms the withdrawn amount
- Response body contains the correct account ID","65","Withdraw funds from account","tests.api","2026-04-29","passed","2026-04-29","","test_post_withdraw_funds","",""
"Verify that the API endpoint successfully processes a valid deposit request.
Expected results:
- Response status is 200
- Response body confirms the deposited amount
- Response body contains the correct account ID","57","Deposit funds in account","tests.api","2026-04-29","passed","2026-04-29","","test_post_deposit_funds","",""
"Verify that the API correctly returns transactions filtered by a specific amount for a given account.

Expected results:
- Response status is 200 (OK)
- Response content type is XML
- At least one transaction is returned
- Each transaction:
  - has a numeric ID
  - belongs to the requested account
  - has a valid numeric amount
  - matches the requested amount
  - contains a non-empty description
- All transaction IDs are unique","81","Account transactions filtered by amount","tests.api","2026-04-29","passed","2026-04-29","","test_get_accTransactions_byAmount","",""
"Verify that the account transactions endpoint returns a valid XML response
for a given account ID.","149","Test  Account History API","tests.api","2026-04-29","passed","2026-04-29","","test_get_accTransactions","",""
"Verify that a logged-in user can successfully request a loan using valid input data.","3430","Successful loan request","tests.ui","2026-04-29","passed","2026-04-29","","test_loan_request_success","",""
"Verify API bill payment.","116","Test Bill Pay API","tests.api","2026-04-29","passed","2026-04-29","","test_post_billPay","",""
"Verify the application behavior when transferring funds to the same account.
Expected result: the transfer is processed successfully and a confirmation message is displayed,
EVEN when the SOURCE and DESTINATION account are IDENTICAL.","488","Transfer funds to the same account","tests.ui","2026-04-29","passed","2026-04-29","","test_transferfunds_same_account","",""
"
Verify that registering fails when an existing username is used for creating a new account.
Expected result: error message is displayed and user remains on registering page.
","630","Registering with existing username","tests.ui","2026-04-29","passed","2026-04-29","","test_registration_existing_username","",""
"Verify that the API returns an error response 
                    when requesting a customer with an invalid or non-existent ID.","130","Get Customer By Invalid ID - Not Found","tests.api","2026-04-29","passed","2026-04-29","","test_get_custByID_invalid_id","",""
"
Verify that the system enforces required field validation for the amount field.
Expected results:
- Validation message is displayed indicating the field is required
- Payment is not processed
- No success confirmation is shown
","492","BillPay with empty amount field","tests.ui","2026-04-29","passed","2026-04-29","","test_billpay_amount_empty","",""
"Verify that the bill payment endpoint rejects requests made without 
                    authentication. Expected results: - request rejected; - error status returned;
                    - payment isn't processed","58","Bill payment without authentication","tests.api","2026-04-29","passed","2026-04-29","","test_post_billPay_unauthorized","",""
"Verify API for customer account retrieval.","69","Test Customer Accounts API","tests.api","2026-04-29","passed","2026-04-29","","test_get_custAccounts","",""
"
Verify that a registered user can successfully log in using valid credentials.
The test ensures that the user is redirected to the Accounts Overview page
and that no error message is displayed.
","612","Login with valid credentials","tests.ui","2026-04-29","passed","2026-04-29","","test_login","",""
"Verify that a valid funds transfer request between two accounts is processed successfully and returns a successful response.","142","Funds Transfer API - successful transfer between accounts","tests.api","2026-04-29","passed","2026-04-29","","test_post_fundTransfer_success","",""
"Verify that the Bill Pay API handles requests with missing required fields and returns an appropriate error response.","296","Bill Pay API - request with missing required fields","tests.api","2026-04-29","passed","2026-04-29","","test_post_billPay_missing_rf","",""
"
Verify that login fails when a valid username is used with an incorrect password.
Expected result: error message is displayed and user remains on login page.
","405","Login with invalid password","tests.ui","2026-04-29","passed","2026-04-29","","test_login_invalid_password","",""
"Verify that the account transactions endpoint returns a valid XML response
for a given account ID.","170","Test  Account History API","tests.api","2026-04-26","passed","2026-04-26","","test_get_accountTransactions","",""
" Verify that a logged-in user remains authenticated after refreshing the page.
Expected results: - User stays on an authenticated page after refresh; - Accounts Overview is still 
                    visible; - Login form is not displayed
","669","Session persistance after page refresh","tests.ui","2026-04-29","passed","2026-04-29","","test_session_persistance","",""
"Verify that the API correctly returns transactions filtered by a specific month for a given type account.

Expected results:
- Response status is 200 (OK)
- Response content type is XML
- At least one transaction is returned
- Each transaction:
  - has a numeric ID
  - belongs to the requested account
  - has a valid numeric amount
  - matches the requested month
  - contains a non-empty description
  - matches the requested account type                    
- All transaction IDs are unique","118","Account transactions filtered by month and account type","tests.api","2026-04-29","passed","2026-04-29","","test_get_accTransactions_byMo_type","",""
"Verify API for getting Customer Details.","61","Test Customer Details API","tests.api","2026-04-29","passed","2026-04-29","","test_get_custByID","",""
"
Verify that a bill payment can be submitted successfully.
Expected result: payment is completed and confirmation message is displayed.
","535","Bill payment with success","tests.ui","2026-04-29","passed","2026-04-29","","test_billpay_success","",""
"
Verify that the system rejects bill payment when a negative amount is entered.
Expected results:
- Payment is not processed
- No success confirmation is displayed
- Application may display an error or redirect to an error page
","5417","BillPay with negative amount","tests.ui","2026-04-29","failed","2026-04-29","","test_billpay_amount_negative","",""
"Verify that the bill payment endpoint rejects requests made without 
                    authentication. Expected results: - request rejected; - error status returned;
                    - payment isn't processed","45","Bill payment without authentication","tests.api","2026-04-29","passed","2026-04-29","","test_post_billPay_unauthorized","",""
"Verify that the Bill Pay API handles requests with missing required fields and returns an appropriate error response.","54","Bill Pay API - request with missing required fields","tests.api","2026-04-29","passed","2026-04-29","","test_post_billPay_missing_rf","",""
"Verify user can update profile successfully.","491","Test Update Profile Submission","tests.ui","2026-04-29","passed","2026-04-29","","test_form_subm","",""
"
Verify that the system validates the amount field and rejects non-numeric input.
Expected results:
- Validation error message is displayed
- Payment is not processed
- No success confirmation is shown
","487","BillPay with non-numeric amount","tests.ui","2026-04-29","passed","2026-04-29","","test_billpay_amount_non_numeric","",""
